,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
70,"MTS Software Engineer, Data Infras",$52K-$98K (Glassdoor est.),"eBay is a global commerce leader that allows you to shape how the world buys, sells, and gives. Youll be part of a work culture thats been genuinely committed to diversity and inclusion since its founding more than 20 years ago. Here, you can just be yourself, do your best work, and have a meaningful impact on people across the globe. We are looking for people with drive, ideas, and a passion for helping small businesses succeed to help shape the future of eBaydoes this sound like you? If so, wed love to talk to you!

About Our Team:

Are you passionate about databases? Are you addicted to solving complex problems at incredible scale? We need an outstanding Software Engineer to join our team in Rancho Cordova. We are responsible for everything data-related at eBay, from the end-user APIs all the way down the stack to actually building databases themselves!

You should have a love for using - and crafting - newest technology. You, with your solid understanding of computer science fundamentals, your experience with data infrastructure and passion to innovate, will join us on our multi-year journey to transform our data ecosystem to a cloud-native platform while keeping the existing stacks operating faster and more reliable than ever before.

Its essential that you will have strong software development experiences across a breadth of data platforms, including relational SQL, NoSQL, and Key-Value stores. Your knowledge of distributed systems is a strength. You are encouraged to be results-oriented, produce high quality work and be comfortable working with senior management. You will identify problems that need solving and will be empowered to solve them.

This is a true software engineering position, not an administrator or sysop role.

Primary job Responsibilities:
Build and support data services, client APIs and back-end databases.
Maintain and improve existing data platform
Full life cycle ownership of our products from design through implementation, to production support.
Join Scrum team and attend daily project stand-up meetings.
Be a domain specialist on data products
Participate in and lead cross-team and cross-geography projects
Responsible for software process: design, user documentation, code review.
Job Requirements:
BS or higher in Computer Science, CIS, EE, or related field
6+ years of experience in requirements analysis, design, coding and unit testing of scalable, distributed, fault-tolerant applications
Mandatory Skill: Java, C++ is a plus
Participate in all phases of the software development lifecycle, including discovery, analysis, requirements definition, solution design, configuration, code development, testing, deployment and support
Expertise required in object-oriented design methodology and application development in Java and J2EE, including Spring, Hibernate, servlets, JDBC, XML, XSL
Expertise in unit test, code coverage process, pipeline setup.
Experience with database and SQL, preferably Oracle
Working knowledge of NoSQL and Key-Value databases
Test Driven development
Proven track of success with strong focus on high velocity and high quality
Familiar with Agile/Scrum
Strong ""soft"" interpersonal skills
Benefits:

Benefits are an essential part of your total compensation for the work you do every day. Whether youre single, in a growing family, or nearing retirement, eBay offers a variety of comprehensive and competitive benefit programs to meet your needs. Including maternal & paternal leave, paid sabbatical, and plans to help ensure your financial security today and in the years ahead because we know feeling financially secure during your working years and through retirement is important.

Here at eBay, we love creating opportunities for others by connecting people from widely diverse backgrounds, perspectives, and geographies. So, being diverse and inclusive isnt just something we strive for, it is who we are, and part of what we do each and every single day. We want to ensure that as an employee, you feel eBay is a place where, no matter who you are, you feel safe, included, and that you have the opportunity to bring your unique self to work. To learn about eBays Diversity & Inclusion click here: https://www.ebayinc.com/our-company/diversity-inclusion/.

This website uses cookies to enhance your experience. By continuing to browse the site, you agree to our use of cookies

View our privacy policy

View our accessibility info

eBay Inc. is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, veteran status, and disability, or other legally protected status. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at talent@ebay.com. We will make every effort to respond to your request for disability assistance as soon as possible.

For more information see:

EEO is the Law Poster

EEO is the Law Poster Supplement",3.6,"eBay
3.6","Portland, OR","San Jose, CA",10000+ employees,1995,Company - Public,Internet,Information Technology,$10+ billion (USD),"Amazon, Apple"
71,Software Developer / Ruby on Rails,$52K-$98K (Glassdoor est.),"Software Developer / Ruby on Rails
Vancouver, WA

AZAD Technology Partners is hiring a Software Developer to work collaboratively towards the development and implementation of customized technology solutions in support of a critical and high-availability applications and control centers of an enterprise level organization dedicated to producing efficient resources and environmental sustainability throughout the Pacific Northwest. This individual will have significant influence interpreting design specifications, technical design, coding software, following test and deployment procedures, complying with project documentation requirements, and working on a development team using a mix of development methodologies including Agile.

The ideal candidates will possess the following experience and qualifications:
12+ years of experience of demonstrated software development work experience in Computer Science/Information Technology environments developing and implementing technology solutions. (8+ years directly related experience with applicable Bachelor’s Degree).
Must possess demonstrated knowledge and development experience with multiple programming languages (see list below).
Experience with any or all of the following is desired, but is not required:
Demonstrated experience developing:
Ruby on Rails applications
Java
Web Services
Experience with any or all of the following:
Rails 3 through 5
JavaScript (node npm webpack)
Source Control Systems (preferably Subversion)
C# .NET
CSS
Experience working in Agile development team (preferably XP based)
System Administration experience
Understanding and experience applying:
Object oriented programming principles
Design patterns
Current experience practicing Test Driven Development
Ability to adapt to changing requirements and processes
Knowledge of Agile development methodologies/practices
Desired:
Bachelors, Masters, or Post-Graduate College Degree in Computer/Information Technology or a closely related discipline.
AZAD Technology Partners is looking for bright, talented, flexible, and customer centric problem solvers who enjoy the challenges associated with solving the most complex problems by utilizing the most sophisticated technologies and strong people skills.

Founded and managed by technologists and engineers, AZAD is a leading provider of Technology Consulting and Engineering Solutions to Fortune 500 and innovative high-tech firms since 1992. AZAD works closely with its clients to solve their most complex technological challenges. Join AZAD's professional team and enhance your career by being engaged with some of the most innovative projects in the Pacific Northwest.

AZAD's model provides a unique employment experience that is career path focused, relationship based and dedication to advocacy and retention with an average tenure of 8 years.

Our collaborative approach to support our clients, projects and our passion about technology is key to our success. If you enjoy working in such an environment, we encourage you to apply.

EXCELLENT EMPLOYEE BENEFITS including Co-paid Medical, Dental and Vision Insurance, Cafeteria Plan, Paid Sick Leave, 401K Plan, Credit Union Membership, and Referral Bonus.

U.S. Citizens only for Federal Clearance Requirement

AZAD Technology Partners is an equal opportunity employer that considers and employs qualified individuals based upon job related qualifications regardless of race, color, sex, religion, creed, physical or mental disability, veteran’s status, sexual orientation, national origin, age or any other status protected under applicable local, state or federal law. AZAD Technology Partners takes affirmative action to employ and advance in employment qualified employees and applicants who are disabled, disabled veterans, recently separated veterans, Armed Forces services medal veterans, and other protected veterans.

Apply for this position >>",3.9,"AZAD Technology Partners
3.9","Vancouver, WA","Portland, OR",Unknown,1992,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
72,Software Engineer - Experimentation,$52K-$98K (Glassdoor est.),"Experimentation drives growth at eBay. Do you want to be part of the team that architects the industrys most powerful and innovative e-commerce technology stack? eBays Core Product Technology team is embarking on an exciting journey to transform itself and is determined to revolutionize the future of the e-commerce landscape.

Are you the kind that simply loves all kinds of technologies and wants things to just work the right way? Do you live and breathe creating artistic code and engineering designs that exude quality and encourage others?

Experimentation Platform Engineering team is looking for folks who live for coding and debugging complex problems across a range of technology stacks. Our focus is on providing the platform which eBay can leverage to experiment features on the web, mWeb, and Native app. We serve billions of calls a day and with low latency and enable Product Managers around eBay to shape their products.

Job Summary:

Our platform includes a number of technologies, including Java, Kafka, AVRO, and Node.js. Candidates are expected to provide meaningful contributions.

This is a hands on position, where the candidate is expected to work independently and develop robust, tested and highly optimized code and to participate in code reviews and architectural design. There is also an operations aspect where the candidate is expected to help troubleshoot production issues and to share in a pager duty rotation.

So what is it going to take for you to be part of this team of world-class engineers?

Ideally you will be that expert who first and foremost - is a solid coder, debugger and lives and breathes building quality systems and enhancing quality so that systems always work! You should be unafraid to get into complex code, debug complex interactions and systems and quickly figure out why theyre not working.

As a Software Engineer on our team, a big onus is on enabling the team to succeed on their projects.
You have a keen design sense, and be willing to give detailed guidance to improve the code that the team produces.
You are someone that works with multiple team members in order to understand and improve first, but then later develop standard methodologies as well as up level others and their software.
You will also partner with internal customers to provide best practices and patterns to help them effectively integrate with our infrastructure.
You will share and develop patterns of writing great quality software and help others on the team do the same.
Responsibilities:
Drive, design and build complex software systems from scratch
Define the interfaces needed to integrate with partner teams like Mobile Native Applications, Web Applications, and Backend Services
Implement and automate Continuous Integration and Continuous Delivery
Experience with Agile Development, SCRUM, or Extreme Programming methodologies
Collaborates with engineers and senior architects on Design for Testability, Quality Frameworks, DevOps and Data driven designs and engineering patterns and behaviors
Explores, evaluates and develops new advances in diagnostic tools and methods, and build high-quality tools to debug and diagnose system failures, perform failure analysis and effectively identify root causes of alerts and failures.
Demonstrates ability to turn innovative ideas into new and improved diagnostic tools and methodologies
Requirements:
Proven expertise in building platforms that support scale, security, availability, performance and automation.
Hands-on experience in building a microservices based architecture and platform developed and deployed at scale.
Strong track record of engineering excellence including continuous delivery of high quality, massively scaled, innovative software.
Expertise in test-driven development and establishing a DevOps practice are a plus.
Domain expertise in one or more e-commerce or cloud infrastructure services.
Well understood distributed and ecommerce processing systems, operating systems, system debuggers, microservice architectures and applications development skills
Experience and knowledge of IC functional test pattern generation and debugging
Exceptional Linux, Java, coding and scripting skills
Flexible, adaptable, and able to autonomously manage multiple tasks in a dynamic, fast-paced, iterative development environment with short turnaround times.
Self-motivated, passionate about technology, and strong drive for results and continual improvement.
Standout colleague - you work well independently and in multi-group cross-discipline environment.
Preferred qualifications:
BS/MS in CS with 7-10 or more years in software engineering, design and architecture.
6+ years minimum of real-world coding, debugging and diagnostics experience in high scale distributed microservice architectures
Experience with code analysis (dissecting features, stepping through program execution with a debugger, examining system internals)
Programming & Coding experience. Java strongly preferred
Experience with at least one high scale data storage/database system (preferably experience with relational and non-relational databases
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

This website uses cookies to enhance your experience. By continuing to browse the site, you agree to our use of cookies

View our privacy policy

View our accessibility info

eBay Inc. is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, veteran status, and disability, or other legally protected status. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at talent@ebay.com. We will make every effort to respond to your request for disability assistance as soon as possible.

For more information see:

EEO is the Law Poster

EEO is the Law Poster Supplement",3.6,"eBay
3.6","Portland, OR","San Jose, CA",10000+ employees,1995,Company - Public,Internet,Information Technology,$10+ billion (USD),"Amazon, Apple"
73,Business Intelligence Database Developer,$52K-$98K (Glassdoor est.),"Your development expertise is needed! With your ample SQL skills and your talent for extracting and transforming data, you will become an integral member of the business intelligence team at Precoa.
As the Database Developer, you will build tables and ETL/ELT processes to support the data warehouse, working within a sustainable data vault architecture to effectively process and report your solutions. Empower Precoa analysts and leaders to make decisions that will ultimately help families.
About Precoa: Known for its fun, upbeat culture, Precoa uses data-driven decisions to grow efficiently and effectively. We are a leader in the preneed insurance industry, providing an innovative marketing, lead generation, and appointment-setting program known as ProActive Preneed®. Our core values of kindness, progression and craftsmanship have led us to be named one of The Oregonian’s top workplaces for eight consecutive years, and we support our external and internal partners with these core values in mind.
Headquartered in Portland, OR since its founding in 2004, Precoa employs over 288 employees, plus a network of more than 600 independent preneed agents, all passionately focused on one thing: helping people plan today so their families can focus on connection when they need it the most.

Design, develop and maintain staging, integration, and reporting data schemas in Precoa’s agile data warehouse system.
Design, develop, and maintain complex ELT and ETL processes.
Work daily with the BI data warehouse team in an agile development environment. Attend team meetings, work through development assignments, and report on solution progress regularly.
Work with the Data Team and Precoa business users/stakeholders to collect data for the purpose of measuring and reporting on business processes.
Monitor and respond quickly to urgent issues related to data load or transformation processes.
Troubleshoot data issues that are submitted by analysts and report users.
Work closely with the Data Team on data import and optimization.
Work closely with the Corporate Reporting, Operational Analytics, and Strategy Teams to design, build, and test sustainable data processes and tables for reporting and analysis.
Support Tableau and SSRS developers.
Additional duties as assigned.

Qualifications
Intermediate proficiency with SQL (any flavor, T-SQL and/or SnowSQL preferred).
Proven proficiency in developing and maintaining complex SQL and ETL/ELT (Extract/Transform/Load) solutions in an agile team development environment.
Proven ability to design and develop database solutions to meet specific business requirements.
Experience developing for both operational and reporting database systems.
Familiarity with the SDLC (Software Development Lifecycle).
Ability to troubleshoot and debug code and technical solutions.
Effective communication skills.
Working knowledge of relational and reporting databases and database concepts.
Ability to recognize and manage project tradeoffs based on time, priority, scope, sustainability, efficiency, urgency, and impact.
Preferred: Experience with Microsoft SQL Server, including SSMS, SSIS, SSRS, RedGate Tools.
Preferred: Experience with Snowflake and/or Matillion.
Preferred: Experience with and understanding of Data Vault methodology.
Preferred: Experience working with multiple database environments (e.g., SQL Server, MySQL, Oracle, etc.)
Education and/or Experience:
Bachelor's degree in Computer Science or related field preferred, and at least 4 years of equivalent experience developing in a relational database environment.
Practical, working ability developing database solutions that efficiently create or improve systems/processes essential to a business.",4.0,"Precoa
4.0","Portland, OR","Portland, OR",201 to 500 employees,2004,Company - Private,Advertising & Marketing,Business Services,$50 to $100 million (USD),-1
74,.NET Developer,$52K-$98K (Glassdoor est.),"At least 3-4 years of .NET development experience.
Must be hands on experience in Visual Studio .NET Macros
Good Knowledge in SQL Server
Able to understand requirements and provide low level and high level design
Very good experience in developing and debugging techniques
Good understanding of programming methodologies including Agile Scrum.
Strong communication, negotiation and presentation skills.
No remote/must work at client location.",3.3,"Peritus Inc
3.3","Portland, OR","Irving, TX",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),-1
75,Compute Performance Developer Technology Engineer - New College Graduate,$52K-$98K (Glassdoor est.),"We are now looking for a Compute Performance Developer Technology Engineer - New College Graduate:

NVIDIA is hiring passionate, world-class computer scientists to work in its Compute Developer Technology (Devtech) team. In this role, you will research and develop techniques to GPU-accelerate leading applications in high-performance computing fields within scientific computing, computational engineering, and data science. You will be performing in-depth analysis and optimization to ensure the best possible performance on current and next-generation GPU architectures.

What you will be doing:
Working directly with key application developers to understand the current and future problems they are solving, crafting and optimizing core parallel algorithms and data structures to provide the best solutions using GPUs, through both library development and direct contribution to the applications.
Collaborating closely with diverse groups at NVIDIA such as the architecture, research, libraries, tools, and system software teams to influence the design of next-generation architectures, software platforms, and programming models, by investigating the impact on application performance and developer productivity.
You will need to travel from time to time for conferences and for on-site visits with developers
What we need to see:
You are pursuing a BS, MS, or PhD in an engineering or computer science related discipline. While not a requirement, specialization in telecommunications, medical imaging, machine learning, deep learning, or natural sciences is helpful.
Programming fluency in C/C++ and/or Fortran with a deep understanding of software design, programming techniques, and algorithms.
Strong mathematical fundamentals, including linear algebra and numerical methods.
Experience with parallel programming, ideally CUDA C/C++ and OpenACC.
Strong communication and organization skills, with a logical approach to problem-solving, good time management, and task prioritization skills.
With highly competitive salaries and a comprehensive benefits package, NVIDIA is widely considered to be one of the technology industry's most desirable employers. We have some of the most brilliant and talented people in the world working with us and our engineering teams are growing fast in some of the hottest and state of the art fields: Deep Learning, Artificial Intelligence, Autonomous Vehicles, Supercomputing and more. Are you a creative and autonomous computer scientist with a real passion for parallel computing? If so, we want to hear from you.

**Please note that Santa Clara, CA is the preferred location; however, we are open to hiring across all US offices**

NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression , sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law.#deeplearning",4.6,"NVIDIA
4.6","Hillsboro, OR","Santa Clara, CA",10000+ employees,1993,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),-1
76,Software Developer 3 / Dev Ops,$52K-$98K (Glassdoor est.),"Providence St. Joseph Health is calling a Software Developer 3 to our location in Beaverton, OR.
We are seeking a Software Developer 3 to be a member of an Agile software development team (Scrum or Kanban) in the PHP Information Services (IS) Department. As senior software developer they will be expected to work well within their agile team, foster collaboration, mentor teammates and other members of the IS Department, and provide opinion and expertise on technical issues all while embracing Agile Principles and Values.

The Software Developer 3 performs a variety of technical administration, development, and support functions for Information Services. Works with customers, vendors, consultants and other Information Services staff in performing their duties. On-call support is a requirement for any Developer position. Developers are required to provide 24/7 on-call support on a rotational basis.

In this position you will have the following responsibilities:
Working as an effective team member in an Agile Scrum or Kanban team.
Providing technical expertise and mentoring to their fellow Agile team members and members of other teams.
Gather and analyze complex business requirements.
Specify and implement technical plans for complex solutions.
Combine business and technical knowledge to gain agreement and implement solutions within cross-functional teams.
Verify correctness of software using manual and automated testing strategies.
Verify performance of software using load testing and other strategies.
Required qualifications for this position include:
Associate Degree plus 6 years of demonstrated software development experience in an enterprise environment OR;
Bachelor's Degree plus 4 years of demonstrated software development experience in an enterprise environment OR 6 year degree plus 2 years of demonstrated software development experience in an enterprise environment
8 years demonstrated software development experience in an enterprise environment.

Preferred qualifications for this position include:
Microsoft SharePoint: Experience with 2010 and 2013.
Microsoft SharePoint: Experience with InfoPath and ShareGate tools.

About Providence in Oregon.
As the largest healthcare system and largest private employer in Oregon, Providence offers exceptional work environments and unparalleled career opportunities.

The Providence Experience begins each time our patients or their families have an encounter with a Providence team member and continues throughout their visit or stay. Whether you provide direct or indirect patient care, we want our patients to feel that they are in a welcoming place where they can be comfortable and free from anxiety. Our employees create the Providence Experience through simple, caring behaviors such as acknowledging and welcoming each visitor, introducing ourselves and Providence, addressing people by name, providing the duration of estimated wait times and updating frequently if timelines change, explaining situations in a way that puts patients at ease, carefully listening to their concerns, and always thanking people for trusting Providence for their healthcare needs. At Providence, our quality vision is simple,

""Providence will provide the best care and service to every person, every time.""

Providence is consistently ranked among the top 100 companies to work for in Oregon. It is also home to two of our award-winning Magnet medical centers. Providence hospitals and clinics are located in numerous areas, ranging from the Columbia Gorge to the wine country to sunny southern Oregon to charming coastal communities to the urban setting of Portland. If you want a vibrant lifestyle while working with a team highly committed to the art of healing, choose from our many options in Oregon.",3.4,"Providence Health & Services
3.4","Beaverton, OR","Renton, WA",10000+ employees,1855,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1
77,Full - Stack Web Developer,$52K-$98K (Glassdoor est.),"Our agency client is looking for a Full Stack Developer to join their team who is proficient in coding both front and back end and will be responsible for the full development cycle on website projects.

We are looking for candidates with:
CMS experience developing for WordPress is mandatory
PHP development experience
Strong working knowledge of with databases and web servers
At least 3+ years of experience Of Full Stack development
Solid understanding of UX/UI design fundamentals

- Proficient in Javascript as well as Vanilla Javascript

- Experience with at least one 3D Javascript framework such as Babylon.js or Three.js

- Agency background

Other requirements/responsibilities:
Adept at developing and managing websites as well as hosting environments
Involved in parts of the website process including planning, developing, testing and launch
Proficient in writing both clean front end and back end code to develop responsive websites

- Past experience with CSS framework systems

- Must have the ability to think critically and be a strong voice when needed and speak up

- Must possess having flexibility and be able to collaborate well with others

- Highly skilled with HTML5 and CSS3

- Motion design experience is nice to have

- E-commerce experience is a nice to have",4.5,"Vitamin T
4.5","Portland, OR","Boston, MA",201 to 500 employees,2011,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),-1
78,Training Content Developer,$52K-$98K (Glassdoor est.),"Training Content Developer

Be the key in unlocking business opportunities in the convergent world of Open Platform IP Video Management Systems! Join Milestone!

The Training Content Developer will work out of our Americas Headquarters in beautiful Lake Oswego, OR. This position will report to our Manager, Instructional Design as part of our Global Learning and Performance team. Relocation assistance is not provided for this position.

Learning and Performance Mission:

Milestone Learning & Performance provides a multiple award winning channel partner learning program that empowers the people in the Milestone community to perform on-the-job by delivering effective learning experiences, certification assessments, and performance support solutions.

Learning and Performance Vision:

Grow the number of people globally with proven expertise in the design and implementation of Milestone community solutions.

As a Milestone Employee, YOU are the key to our success. Come join our dynamic international team and be a part of our rapidly growing, successful business. Many new members of our team are offered an exciting opportunity to train at our Global Headquarters in Copenhagen, Denmark!

Responsibilities:
Develop and update learning and performance support solutions to meet the needs identified. Primary solutions include online and face-to-face classroom materials as well as self-paced eLearning, online software simulations, blended learning, performance support systems, and collaborative learning experiences.
Develop and update certification assessments that prove learner mastery of highly complex IT and video technology knowledge and skills required to successfully perform on the job.
Work with senior instructional designers to clearly identify business goals, target audiences, knowledge and performance gaps, and logistical delivery issues.
Maintain and release content in an Agile Development system.
Work with internal and external localization teams to release content globally.
Tasks:


Write instructional materials, including classroom documents, html code for online classes, certification tests, job aids, scripts, screen text, quizzes, and other documents.
Coordinate and support online portals, including Adobe Connect and Learn on Demand.
Review latest internal, technical documentation for updates to classroom and certification content.
Specify needed media assets (graphics, audio, and video) and interactions.
Maintain instructional design knowledge and monitor ongoing improvements in the use of technology to support learning.
Other duties as assigned by manager.
Occasional travel may be required for this position, approximately 1-3 times per year.
Professional Qualifications:


Bachelor’s degree required. Advanced degree in Adult Education or Instructional Technology preferred.
3+ years of eLearning instructional design experience (a portfolio of work samples will be required).
Demonstration of solid foundation in adult learning, performance support, and instructional design theory.
Possession and/or a willingness to develop complex IT networking skills
Familiarity with html code, e-Learning, their capabilities, and best instructional uses.
Advanced instructional writing skills in multiple mediums.
Intermediate skill in developing eLearning using programs like Articulate Storyline.
Graphic design skills a plus.
Personal Skills
Ability to uphold organizational values of reliability, openness, innovation, flexibility, and independence.
Excellent English verbal and written communication skills.
Ability to exercise independent judgement and discretion with important matters.
Strong interpersonal skills and the ability to work with international subject matter experts and target audiences.
Ability to manage multiple tasks or projects at one time.
Ability to self-direct and manage time.
Ability to work as a team and with challenging deadlines.
Acceptance of feedback and constructive evaluation of work.
Interest in continuous improvement and dedication to updating skills.
Likes to have fun at work.
Why Milestone?


Ranked on the 2017 & 2018 “100 Best Companies to work for in Oregon”, Milestone not only offers great benefits but also great culture. Employees here have flexible work environments, opportunities for further education, and the ability to directly effect change in our Organization. Additionally, we offer an attractive benefits package that includes medical/dental benefits, FSA, 401k with employer match, paid parental leave, generous vacation, paid sick time, and Life Insurance.

Milestone is committed to creating a diverse and inclusive workplace. We are proud to be an equal opportunity employer.

Be the key in unlocking business opportunities in the convergent world of Open Platform IP Video Management Systems! Join Milestone!

The Training Content Developer will work out of our Americas Headquarters in beautiful Lake Oswego, OR. This position will report to our Manager, Instructional Design as part of our Global Learning and Performance team. Relocation assistance is not provided for this position.

Learning and Performance Mission:

Milestone Learning & Performance provides a multiple award winning channel partner learning program that empowers the people in the Milestone community to perform on-the-job by delivering effective learning experiences, certification assessments, and performance support solutions.

Learning and Performance Vision:

Grow the number of people globally with proven expertise in the design and implementation of Milestone community solutions.

As a Milestone Employee, YOU are the key to our success. Come join our dynamic international team and be a part of our rapidly growing, successful business. Many new members of our team are offered an exciting opportunity to train at our Global Headquarters in Copenhagen, Denmark!

Responsibilities:
Develop and update learning and performance support solutions to meet the needs identified. Primary solutions include online and face-to-face classroom materials as well as self-paced eLearning, online software simulations, blended learning, performance support systems, and collaborative learning experiences.
Develop and update certification assessments that prove learner mastery of highly complex IT and video technology knowledge and skills required to successfully perform on the job.
Work with senior instructional designers to clearly identify business goals, target audiences, knowledge and performance gaps, and logistical delivery issues.
Maintain and release content in an Agile Development system.
Work with internal and external localization teams to release content globally.
Tasks:


Write instructional materials, including classroom documents, html code for online classes, certification tests, job aids, scripts, screen text, quizzes, and other documents.
Coordinate and support online portals, including Adobe Connect and Learn on Demand.
Review latest internal, technical documentation for updates to classroom and certification content.
Specify needed media assets (graphics, audio, and video) and interactions.
Maintain instructional design knowledge and monitor ongoing improvements in the use of technology to support learning.
Other duties as assigned by manager.
Occasional travel may be required for this position, approximately 1-3 times per year.
Professional Qualifications:


Bachelor’s degree required. Advanced degree in Adult Education or Instructional Technology preferred.
3+ years of eLearning instructional design experience (a portfolio of work samples will be required).
Demonstration of solid foundation in adult learning, performance support, and instructional design theory.
Possession and/or a willingness to develop complex IT networking skills
Familiarity with html code, e-Learning, their capabilities, and best instructional uses.
Advanced instructional writing skills in multiple mediums.
Intermediate skill in developing eLearning using programs like Articulate Storyline.
Graphic design skills a plus.
Personal Skills
Ability to uphold organizational values of reliability, openness, innovation, flexibility, and independence.
Excellent English verbal and written communication skills.
Ability to exercise independent judgement and discretion with important matters.
Strong interpersonal skills and the ability to work with international subject matter experts and target audiences.
Ability to manage multiple tasks or projects at one time.
Ability to self-direct and manage time.
Ability to work as a team and with challenging deadlines.
Acceptance of feedback and constructive evaluation of work.
Interest in continuous improvement and dedication to updating skills.
Likes to have fun at work.
Why Milestone?


Ranked on the 2017 & 2018 “100 Best Companies to work for in Oregon”, Milestone not only offers great benefits but also great culture. Employees here have flexible work environments, opportunities for further education, and the ability to directly effect change in our Organization. Additionally, we offer an attractive benefits package that includes medical/dental benefits, FSA, 401k with employer match, paid parental leave, generous vacation, paid sick time, and Life Insurance.

Milestone is committed to creating a diverse and inclusive workplace. We are proud to be an equal opportunity employer.",3.5,"Milestone Systems A / S
3.5","Portland, OR","BRØNDBY, Denmark",501 to 1000 employees,1998,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),-1
79,Silicon Validation Software Engineer: Linux Driver and Kernel Developer,$52K-$98K (Glassdoor est.),"Posted: Jan 16, 2020
Role Number:
200141508
Imagine what you could do here. At Apple, new ideas have a way of becoming extraordinary products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish. Dynamic, smart people and inspiring, innovative technologies are the norm here. The people who work here have reinvented entire industries with all Apple Hardware products. The same passion for innovation that goes into our products also applies to our practices strengthening our commitment to leave the world better than we found it. Join us to help deliver the next groundbreaking Apple product.

Are you passionate about changing the world? Join our growing Silicon Validation team. We have a critical impact on getting high quality functional products to millions of customers quickly and we are hiring all levels from junior to senior roles. As part of the silicon validation team, you will develop Linux device drivers and user-land tests for exercising and testing the various subsystems in complex SoCs.
Key Qualifications
Experienced in embedded Linux kernel development experience
Expertise with Linux, USB or USB4, and PCIe
Solid knowledge of Linux kernel internals (process scheduler, memory management, concurrency/synchronization, memory allocation, file systems) and networking or storage subsystems architecture
You bring extensive device driver development and support (one or more of USB, network, graphics, video, mtd, storage, power management)
You have strong debugging skills in kernel context
Experience with exercising/validation of system from user space, knowledge of user space API
Ported/maintained Linux distribution for a platform
Skilled C programmer
Familiarity with ARM architecture a plus
Description
- You will work closely with designers and architects to understand functional IP blocks and their use-cases
You will be implementing BSP and doing software bringup on pre and post-silicon platforms
You will be developing Linux device drivers and user-land tests for exercising and testing the various subsystems in complex SoCs.
You will debug and root-cause a variety of hardware and software issues
Education & Experience
BS / MS / Ph.D in EE or CS is required.",4.1,"Apple
4.1","Portland, OR","Cupertino, CA",10000+ employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Google, Microsoft, Samsung Electronics"
